Quantity,Recomputed here,Results master,Agree
DeepDRiD OOF QWK,0.8571432632571309,0.8571432632571309,True
DeepDRiD OOF referable AUC,0.9697532472126551,0.9697532472126551,True
IDRiD QWK,0.7293568421491392,0.7293568421491392,True
APTOS QWK,0.8452031578217636,0.8452031578217636,True
APTOS referable AUC,0.9792367568737488,0.9792367568737488,True
DME test QWK,0.8380942056480026,0.8380942056480026,True
EHR retinopathy AUC (boosted),0.720281830088513,0.720281830088513,True
"EHR neuropathy AUC (boosted, proxies excluded)",0.7100382969078647,0.7100382969078647,True
HRV diabetes vs control AUC,0.7768115942028985,0.7768115942028985,True
PPG-BP hypertension control AUC,0.7259892086330936,0.7259892086330936,True
